Date,Price
2026-04-24,34.59
2026-04-23,34.705
2026-04-22,34.7
2026-04-21,34.79
2026-04-20,35.095
2026-04-17,35.36
2026-04-16,34.76
2026-04-15,34.785
2026-04-14,34.975
2026-04-13,34.635
2026-04-10,34.655
2026-04-09,34.57
2026-04-08,34.58
2026-04-07,33.285
2026-04-02,33.645
2026-04-01,33.675
2026-03-31,32.875
2026-03-30,32.745
2026-03-27,32.395
2026-03-26,32.675
2026-03-25,33.09
2026-03-24,32.56
2026-03-23,32.44
2026-03-20,32.225
2026-03-19,32.8
2026-03-18,33.615
2026-03-17,33.875
2026-03-16,33.695
2026-03-13,33.485
2026-03-12,33.65
2026-03-11,33.865
2026-03-10,34.075
2026-03-09,33.415
2026-03-06,33.615
2026-03-05,33.955
2026-03-04,34.4
2026-03-03,33.925
2026-03-02,34.99
2026-02-27,35.51
2026-02-26,35.53
2026-02-25,35.565
2026-02-24,35.325
2026-02-23,35.225
2026-02-20,35.4
2026-02-19,35.07
2026-02-18,35.245
2026-02-17,34.855
2026-02-16,34.69
2026-02-13,34.58
2026-02-12,34.645
2026-02-11,34.83
2026-02-10,34.74
2026-02-09,34.895
2026-02-06,34.56
2026-02-05,34.265
2026-02-04,34.61
2026-02-03,34.62
